source_condition_code,condition_status,condition_record_count,unique_patients,first_observed_date,last_observed_date
314529007,resolved,202,26,1965-06-18,2026-05-01
66383009,resolved,71,19,1973-07-13,2025-11-24
160903007,resolved,67,18,2008-05-23,2026-03-06
73595000,resolved,63,18,2007-03-22,2026-03-06
314529007,active,17,17,1976-07-30,2026-05-08
160904001,resolved,38,16,2016-04-28,2025-01-24
444814009,resolved,26,16,2016-07-17,2025-07-26
162864005,active,16,16,1991-01-06,2024-03-18
18718003,resolved,22,14,1975-08-01,2025-05-04
741062008,resolved,25,13,2012-06-21,2026-01-30
224299000,active,13,13,1979-06-22,2025-10-26
423315002,resolved,23,12,1994-01-09,2024-09-13
160903007,active,12,12,2020-04-09,2025-10-26
422650009,resolved,25,11,2010-11-14,2025-04-18
271737000,active,11,11,1981-09-24,2024-06-14
73595000,active,10,10,2018-06-08,2026-04-19
109570002,resolved,14,9,1975-08-02,2025-07-21
714628002,active,9,9,1978-06-22,2021-06-11
10509002,resolved,9,9,2016-10-21,2024-02-18
160968000,active,8,8,1978-05-07,2024-10-20
