variant,metric,table,column,v0_unique,variant_unique,unique_change,jsd_vs_v0,v0_entropy_bits,variant_entropy_bits,entropy_change_bits,null_jsd_mean,null_jsd_sd,null_jsd_p95,observed_exceeds_null_p95
V0,gender_concept_id,person,gender_concept_id,2,2,0,0.0,0.9993955649393276,0.9993955649393276,0.0,0.000357003936215117,0.0004948184516583383,0.0013947781369103326,False
V1,gender_concept_id,person,gender_concept_id,2,3,1,0.07957743090732552,0.9993955649393276,1.4596644676327455,0.4602689026934179,0.000357003936215117,0.0004948184516583383,0.0013947781369103326,True
V2,gender_concept_id,person,gender_concept_id,2,2,0,0.0,0.9993955649393276,0.9993955649393276,0.0,0.000357003936215117,0.0004948184516583383,0.0013947781369103326,False
V3,gender_concept_id,person,gender_concept_id,2,2,0,0.0,0.9993955649393276,0.9993955649393276,0.0,0.000357003936215117,0.0004948184516583383,0.0013947781369103326,False
V4,gender_concept_id,person,gender_concept_id,2,2,0,0.0,0.9993955649393276,0.9993955649393276,0.0,0.000357003936215117,0.0004948184516583383,0.0013947781369103326,False
V5,gender_concept_id,person,gender_concept_id,2,3,1,0.07957743090732552,0.9993955649393276,1.4596644676327455,0.4602689026934179,0.000357003936215117,0.0004948184516583383,0.0013947781369103326,True
V0,condition_source_value,condition_occurrence,condition_source_value,247,247,0,0.0,5.337111913600184,5.337111913600184,0.0,0.0037527849216452747,0.00032541169287452393,0.004251687481712108,False
V1,condition_source_value,condition_occurrence,condition_source_value,247,247,0,0.0,5.337111913600184,5.337111913600184,0.0,0.0037527849216452747,0.00032541169287452393,0.004251687481712108,False
V2,condition_source_value,condition_occurrence,condition_source_value,247,247,0,0.0,5.337111913600184,5.337111913600184,0.0,0.0037527849216452747,0.00032541169287452393,0.004251687481712108,False
V3,condition_source_value,condition_occurrence,condition_source_value,247,412,165,0.05235479218783836,5.337111913600184,5.800965336167524,0.46385342256733963,0.0037527849216452747,0.00032541169287452393,0.004251687481712108,True
V4,condition_source_value,condition_occurrence,condition_source_value,247,247,0,0.0,5.337111913600184,5.337111913600184,0.0,0.0037527849216452747,0.00032541169287452393,0.004251687481712108,False
V5,condition_source_value,condition_occurrence,condition_source_value,247,412,165,0.05235479218783836,5.337111913600184,5.800965336167524,0.46385342256733963,0.0037527849216452747,0.00032541169287452393,0.004251687481712108,True
V0,drug_source_value,drug_exposure,drug_source_value,147,147,0,0.0,4.036535525750207,4.036535525750207,0.0,0.0022361117475439615,0.0002288540871793373,0.002626680147217877,False
V1,drug_source_value,drug_exposure,drug_source_value,147,147,0,0.0,4.036535525750207,4.036535525750207,0.0,0.0022361117475439615,0.0002288540871793373,0.002626680147217877,False
V2,drug_source_value,drug_exposure,drug_source_value,147,147,0,0.0,4.036535525750207,4.036535525750207,0.0,0.0022361117475439615,0.0002288540871793373,0.002626680147217877,False
V3,drug_source_value,drug_exposure,drug_source_value,147,147,0,0.0,4.036535525750207,4.036535525750207,0.0,0.0022361117475439615,0.0002288540871793373,0.002626680147217877,False
V4,drug_source_value,drug_exposure,drug_source_value,147,151,4,0.0007128557807390935,4.036535525750207,3.9900816819908598,-0.04645384375934691,0.0022361117475439615,0.0002288540871793373,0.002626680147217877,False
V5,drug_source_value,drug_exposure,drug_source_value,147,147,0,0.0,4.036535525750207,4.036535525750207,0.0,0.0022361117475439615,0.0002288540871793373,0.002626680147217877,False
