rows,columns,non_null_cells,total_cells,missing_cells,missing_fraction,file,resource_type,method,runtime_seconds
4506,9,31542,40554,9012,0.2222222222222222,MimicCondition.ndjson.gz,Condition,fhiry_compact,0.039355941997200716
4506,7,31542,31542,0,0.0,MimicCondition.ndjson.gz,Condition,fhirpack_frame,0.006936680001672357
4506,7,31542,31542,0,0.0,MimicCondition.ndjson.gz,Condition,generic_json_normalize,0.1622498180004186
545,9,3815,4905,1090,0.2222222222222222,MimicConditionED.ndjson.gz,Condition,fhiry_compact,0.005391413003962953
545,7,3815,3815,0,0.0,MimicConditionED.ndjson.gz,Condition,fhirpack_frame,0.0011300129990559071
545,7,3815,3815,0,0.0,MimicConditionED.ndjson.gz,Condition,generic_json_normalize,0.004410550995089579
275,8,2200,2200,0,0.0,MimicEncounter.ndjson.gz,Encounter,fhiry_compact,0.0028679020033450797
275,14,3850,3850,0,0.0,MimicEncounter.ndjson.gz,Encounter,fhirpack_frame,0.0013877629971830174
275,18,4908,4950,42,0.008484848484848486,MimicEncounter.ndjson.gz,Encounter,generic_json_normalize,0.005442669003969058
222,8,1776,1776,0,0.0,MimicEncounterED.ndjson.gz,Encounter,fhiry_compact,0.0023012780002318323
222,12,2614,2664,50,0.01876876876876877,MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,0.00104289499722654
222,16,3502,3552,50,0.014076576576576577,MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,0.004086531000211835
140,8,980,1120,140,0.125,MimicEncounterICU.ndjson.gz,Encounter,fhiry_compact,0.0017152159998659045
140,11,1540,1540,0,0.0,MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,0.000722598000720609
140,13,1820,1820,0,0.0,MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,0.002151054002752062
1480,5,5920,7400,1480,0.2,MimicMedication.ndjson.gz,Medication,fhiry_compact,0.008622678004030604
1480,6,8880,8880,0,0.0,MimicMedication.ndjson.gz,Medication,fhirpack_frame,0.0023894309997558594
1480,6,8880,8880,0,0.0,MimicMedication.ndjson.gz,Medication,generic_json_normalize,0.008752394998737145
36131,7,215727,252917,37190,0.14704428725629357,MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhiry_compact,0.28824970700225094
36131,10,355538,361310,5772,0.015975201350640723,MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,0.08518606700090459
36131,15,517770,541965,24195,0.04464310425950015,MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,1.0834810559972539
14293,7,71465,100051,28586,0.2857142857142857,MimicMedicationDispense.ndjson.gz,MedicationDispense,fhiry_compact,0.09010592100094073
14293,10,142924,142930,6,4.1978590918631495e-05,MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,0.03423871399718337
14293,10,142924,142930,6,4.1978590918631495e-05,MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,0.16304152600059751
17552,8,138089,140416,2327,0.01657218550592525,MimicMedicationRequest.ndjson.gz,MedicationRequest,fhiry_compact,0.13557022199529456
17552,13,205313,228176,22863,0.10019896921674497,MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,0.05043470599775901
17552,14,219887,245728,25841,0.105160991014455,MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,0.25698311800078955
668862,13,7013762,8695206,1681444,0.19337598212164267,MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,12.12263607299974
668862,13,7374796,8695206,1320410,0.15185494167705746,MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,1.870084752998082
668862,16,7957412,10701792,2744380,0.25644116424613744,MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,13.268133639998268
2742,13,26077,35646,9569,0.26844526735117547,MimicObservationED.ndjson.gz,Observation,fhiry_compact,0.036049782000191044
2742,12,30162,32904,2742,0.08333333333333333,MimicObservationED.ndjson.gz,Observation,fhirpack_frame,0.006816062996222172
2742,12,30162,32904,2742,0.08333333333333333,MimicObservationED.ndjson.gz,Observation,generic_json_normalize,0.03214438800205244
107727,13,1226750,1400451,173701,0.12403218677411777,MimicObservationLabevents.ndjson.gz,Observation,fhiry_compact,1.5600014220035519
107727,18,1576890,1939086,362196,0.18678697076870238,MimicObservationLabevents.ndjson.gz,Observation,fhirpack_frame,0.4120470679990831
107727,22,1850062,2369994,519932,0.2193811461126062,MimicObservationLabevents.ndjson.gz,Observation,generic_json_normalize,2.146969177003484
100,9,900,900,0,0.0,MimicPatient.ndjson.gz,Patient,fhiry_compact,0.005275758005154785
100,12,1123,1200,77,0.06416666666666666,MimicPatient.ndjson.gz,Patient,fhirpack_frame,0.00135708499874454
100,12,1123,1200,77,0.06416666666666666,MimicPatient.ndjson.gz,Patient,generic_json_normalize,0.00451418000011472
722,11,6498,7942,1444,0.18181818181818182,MimicProcedure.ndjson.gz,Procedure,fhiry_compact,0.015472188999410719
722,8,5776,5776,0,0.0,MimicProcedure.ndjson.gz,Procedure,fhirpack_frame,0.0029240149960969575
722,8,5776,5776,0,0.0,MimicProcedure.ndjson.gz,Procedure,generic_json_normalize,0.012615651998203248
1260,11,11340,13860,2520,0.18181818181818182,MimicProcedureED.ndjson.gz,Procedure,fhiry_compact,0.02361694299906958
1260,8,10080,10080,0,0.0,MimicProcedureED.ndjson.gz,Procedure,fhirpack_frame,0.0052462389940046705
1260,8,10080,10080,0,0.0,MimicProcedureED.ndjson.gz,Procedure,generic_json_normalize,0.02002509299927624
1468,11,14680,16148,1468,0.09090909090909091,MimicProcedureICU.ndjson.gz,Procedure,fhiry_compact,0.018614142994920257
1468,10,13565,14680,1115,0.07595367847411444,MimicProcedureICU.ndjson.gz,Procedure,fhirpack_frame,0.0037211140006547794
1468,11,15033,16148,1115,0.06904879861283131,MimicProcedureICU.ndjson.gz,Procedure,generic_json_normalize,0.018903732001490425
